:START_ID|:END_ID|:TYPE
nm0067619|tt0257850|WROTE
nm0343101|tt0257850|WROTE
nm0682587|tt0257850|WROTE
nm0800862|tt0257850|WROTE
nm0006904|tt0258463|WROTE
nm0380819|tt0258463|WROTE
nm0524924|tt0258463|WROTE
nm0622288|tt0264464|WROTE
nm0007646|tt0264464|WROTE
nm1127221|tt0264464|WROTE
nm0360062|tt0264616|WROTE
nm0100736|tt0265086|WROTE
nm0634307|tt0265086|WROTE
nm0005562|tt0265666|WROTE
nm0847295|tt0266308|WROTE
nm0297934|tt0266308|WROTE
nm0541662|tt0266425|WROTE
nm0677037|tt0266543|WROTE
nm0721675|tt0266543|WROTE
nm6998740|tt0266543|WROTE
nm0065847|tt0266987|WROTE
nm0033153|tt0266987|WROTE
nm0927544|tt0267736|WROTE
nm1018324|tt0267736|WROTE
nm0650036|tt0268126|WROTE
nm0442109|tt0268126|WROTE
nm0107760|tt0268380|WROTE
nm5022110|tt0268380|WROTE
nm0073850|tt0268380|WROTE
nm0010004|tt0268380|WROTE
nm0326040|tt0268978|WROTE
nm0621586|tt0268978|WROTE
nm0057567|tt0270288|WROTE
nm0442109|tt0270288|WROTE
nm0593749|tt0271732|WROTE
nm0887978|tt0271732|WROTE
nm0769227|tt0272020|WROTE
nm0003662|tt0272020|WROTE
nm0108150|tt0272152|WROTE
nm0495378|tt0272152|WROTE
nm0100928|tt0273656|WROTE
nm0286163|tt0273656|WROTE
nm0286163|tt0273657|WROTE
nm0744632|tt0273657|WROTE
nm1259728|tt0274558|WROTE
nm0002376|tt0274558|WROTE
nm0593749|tt0274735|WROTE
nm0887978|tt0274735|WROTE
nm0933379|tt0274812|WROTE
nm1122344|tt0274812|WROTE
nm0394984|tt0276751|WROTE
nm0373282|tt0276751|WROTE
nm0425581|tt0277027|WROTE
nm1051840|tt0277434|WROTE
nm1129929|tt0277434|WROTE
nm0782711|tt0278504|WROTE
nm0296154|tt0278504|WROTE
nm0804408|tt0278504|WROTE
nm0271501|tt0280707|WROTE
nm0000837|tt0280707|WROTE
nm0817023|tt0281358|WROTE
nm0418321|tt0281358|WROTE
nm0362762|tt0283474|WROTE
nm0925682|tt0283474|WROTE
nm0251550|tt0285627|WROTE
nm0630437|tt0285627|WROTE
nm0995906|tt0285742|WROTE
nm0737993|tt0285742|WROTE
nm0874683|tt0286112|WROTE
nm0298676|tt0286112|WROTE
nm1385080|tt0286112|WROTE
nm0359584|tt0286112|WROTE
nm4932610|tt0286112|WROTE
nm0135829|tt0287535|WROTE
nm0307497|tt0289043|WROTE
nm1070530|tt0289652|WROTE
nm0682196|tt0289652|WROTE
nm0365383|tt0289765|WROTE
nm0848217|tt0289765|WROTE
nm1017488|tt0289992|WROTE
nm0672015|tt0290334|WROTE
nm0371684|tt0290334|WROTE
nm1002424|tt0290334|WROTE
nm0003529|tt0290334|WROTE
nm1539594|tt0292490|WROTE
nm1260845|tt0292490|WROTE
nm1031176|tt0292963|WROTE
nm0503693|tt0293508|WROTE
nm0515908|tt0293508|WROTE
nm0746830|tt0295297|WROTE
nm0460141|tt0295297|WROTE
nm0766499|tt0296042|WROTE
nm1152460|tt0296042|WROTE
nm1070424|tt0296251|WROTE
nm0471217|tt0296251|WROTE
nm0472567|tt0298130|WROTE
nm0840626|tt0298130|WROTE
nm0847126|tt0298130|WROTE
nm0826425|tt0298148|WROTE
nm0825308|tt0298148|WROTE
nm0830294|tt0298148|WROTE
nm0798788|tt0298203|WROTE
nm0174374|tt0299658|WROTE
nm0002080|tt0299658|WROTE
nm0247939|tt0299658|WROTE
nm0914362|tt0299658|WROTE
nm1104077|tt0299977|WROTE
nm0910841|tt0299977|WROTE
nm1319382|tt0301357|WROTE
nm0902022|tt0301357|WROTE
nm0359634|tt0301357|WROTE
nm1557910|tt0301357|WROTE
nm1104469|tt0302022|WROTE
nm1216189|tt0302886|WROTE
nm0035905|tt0302886|WROTE
nm0746830|tt0304141|WROTE
nm0460141|tt0304141|WROTE
nm1125275|tt0307901|WROTE
nm0275629|tt0307987|WROTE
nm0720135|tt0307987|WROTE
nm0460632|tt0308644|WROTE
nm1341735|tt0308644|WROTE
nm0299301|tt0309150|WROTE
nm0177769|tt0309698|WROTE
nm0010434|tt0309987|WROTE
nm3820072|tt0310775|WROTE
nm5371819|tt0310775|WROTE
nm0497929|tt0310775|WROTE
nm1136985|tt0310775|WROTE
nm1155681|tt0310775|WROTE
nm1140640|tt0311113|WROTE
nm0171722|tt0311113|WROTE
nm1144337|tt0311289|WROTE
nm0123666|tt0312004|WROTE
nm0048276|tt0312004|WROTE
nm1512799|tt0312318|WROTE
nm0437241|tt0312318|WROTE
nm0255946|tt0313410|WROTE
nm0719334|tt0313410|WROTE
nm0152466|tt0313542|WROTE
nm0001300|tt0313542|WROTE
nm0002718|tt0313542|WROTE
nm0505522|tt0313542|WROTE
nm0166498|tt0313542|WROTE
nm1171069|tt0314097|WROTE
nm0925849|tt0314097|WROTE
nm0037247|tt0315733|WROTE
nm1164318|tt0315983|WROTE
nm1171067|tt0315983|WROTE
